variable,step
maternal_age,neonatal_risk
mother_education_below_university,neonatal_risk
low_family_ses,neonatal_risk
family_social_risk_index,neonatal_risk
ga,neonatal_risk
male,neonatal_risk
bbw,neonatal_risk
sga,neonatal_risk
surfactant,neonatal_risk
supplemental_o2_duration,neonatal_risk
imv_duration,neonatal_risk
pda_ligation,neonatal_risk
sepsis,neonatal_risk
severe_brain_injury,neonatal_risk
severe_nec,neonatal_risk
surgery_of_the_abdomen,neonatal_risk
bpd,neonatal_risk
severe_rop,neonatal_risk
delta_bw,neonatal_risk
delta_hc,neonatal_risk
hospital_stay,neonatal_risk
m24_cognitive_composite_score,bsid_iii
m24_language_composite_score,bsid_iii
m24_motor_composite_score,bsid_iii
m24_cong_ss,bsid_iii
m24_rc_ss,bsid_iii
m24_ec_ss,bsid_iii
m24_fm_ss,bsid_iii
m24_gm_ss,bsid_iii
m_chat_r,m_chat_r
m_chat_f,m_chat_f
