from,to,variable
"Universal N (100%)","Universal N = 1 (36%)",Universal N
"Universal N (100%)","Universal N = 0 (64%)",Universal N
"Universal NB (100%)","Universal NB = 1 (30%)",Universal NB
"Universal NB (100%)","Universal NB = 0 (70%)",Universal NB
"Universal NBR (100%)","Universal NBR = 1 (46%)",Universal NBR
"Universal NBR (100%)","Universal NBR = 0 (54%)",Universal NBR
"Universal NBF (100%)","Universal NBF = 1 (51%)",Universal NBF
"Universal NBF (100%)","Universal NBF = 0 (49%)",Universal NBF
"Universal N (100%)","Universal N = 1 (36%)",N0-NB0-NBR0-NBF
"Universal N (100%)","Universal N = 0 (64%)",N0-NB0-NBR0-NBF
"Universal N = 0 (64%)","NB (64%)",N0-NB0-NBR0-NBF
"NB (64%)","NB = 1 (15%)",N0-NB0-NBR0-NBF
"NB (64%)","NB = 0 (49%)",N0-NB0-NBR0-NBF
"NB = 0 (49%)","NBR (49%)",N0-NB0-NBR0-NBF
"NBR (49%)","NBR = 1 (9%)",N0-NB0-NBR0-NBF
"NBR (49%)","NBR = 0 (40%)",N0-NB0-NBR0-NBF
"NBR = 0 (40%)","NBF (40%)",N0-NB0-NBR0-NBF
"NBF (40%)","NBF = 1 (6%)",N0-NB0-NBR0-NBF
"NBF (40%)","NBF = 0 (34%)",N0-NB0-NBR0-NBF
"Universal N (100%)","Universal N = 1 (36%)",N0-NB0-NBR
"Universal N (100%)","Universal N = 0 (64%)",N0-NB0-NBR
"Universal N = 0 (64%)","NB (64%)",N0-NB0-NBR
"NB (64%)","NB = 1 (15%)",N0-NB0-NBR
"NB (64%)","NB = 0 (49%)",N0-NB0-NBR
"NB = 0 (49%)","NBR (49%)",N0-NB0-NBR
"NBR (49%)","NBR = 1 (9%)",N0-NB0-NBR
"NBR (49%)","NBR = 0 (40%)",N0-NB0-NBR
"Universal R (100%)","Universal NBR = 1 (7%)",Universal R
"Universal R (100%)","Universal NBR = 0 (93%)",Universal R
"Universal F (100%)","Universal NBF = 1 (13%)",Universal F
"Universal F (100%)","Universal NBF = 0 (87%)",Universal F
